"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","4","testcase.single_interface","test_single","TestSingleInterface","","","test_submit[base_info1-test_case1]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","4","testcase.single_interface","test_single","TestSingleInterface","","","test_submit[base_info3-test_case3]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","3","testcase.single_interface","test_single","TestSingleInterface","","","test_login[base_info1-test_case1]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","4","testcase.single_interface","test_single","TestSingleInterface","","","test_submit[base_info2-test_case2]",""
"passed","Sun Jun 21 15:15:41 UTC 2026","Sun Jun 21 15:15:41 UTC 2026","6","testcase.benchmark_manager","test_benchmark","TestBenchmarkManager","","","test_full_flow[base_info0-test_case0]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","32","testcase.benchmark_manager","test_benchmark","TestBenchmarkManager","","","test_full_flow[base_info2-test_case2]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","3","testcase.single_interface","test_single","TestSingleInterface","","","test_solvers[base_info1-test_case1]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","5","testcase.single_interface","test_single","TestSingleInterface","","","test_submit[base_info0-test_case0]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","5","testcase.single_interface","test_single","TestSingleInterface","","","test_login[base_info0-test_case0]",""
"passed","Sun Jun 21 15:15:44 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","3","testcase.single_interface","test_single","TestSingleInterface","","","test_login[base_info2-test_case2]",""
"passed","Sun Jun 21 15:15:41 UTC 2026","Sun Jun 21 15:15:44 UTC 2026","3015","testcase.benchmark_manager","test_benchmark","TestBenchmarkManager","","","test_full_flow[base_info1-test_case1]",""
